Time,Open,High,Low,Close,Volume
2024-01-01 22:00:00+00:00,1.10374,1.10453,1.10374,1.1045,188.0
2024-01-01 23:00:00+00:00,1.1045,1.1045,1.10356,1.10368,1018.0
2024-01-02 00:00:00+00:00,1.10368,1.10386,1.10342,1.10384,1328.0
2024-01-02 01:00:00+00:00,1.10384,1.10434,1.10342,1.1035,2435.0
2024-01-02 02:00:00+00:00,1.1035,1.10359,1.10184,1.1019,1968.0
2024-01-02 03:00:00+00:00,1.1019,1.10249,1.1018,1.10247,1364.0
2024-01-02 04:00:00+00:00,1.10247,1.10251,1.10166,1.10212,1322.0
2024-01-02 05:00:00+00:00,1.10212,1.10336,1.1021,1.10335,1864.0
2024-01-02 06:00:00+00:00,1.10335,1.10352,1.10268,1.10287,1888.0
2024-01-02 07:00:00+00:00,1.10287,1.10381,1.10152,1.10156,4864.0
2024-01-02 08:00:00+00:00,1.10156,1.1039,1.10156,1.10298,6320.0
2024-01-02 09:00:00+00:00,1.10298,1.10382,1.10107,1.10153,4744.0
2024-01-02 10:00:00+00:00,1.10153,1.1017,1.09972,1.10076,4730.0
2024-01-02 11:00:00+00:00,1.10076,1.10076,1.09666,1.09692,6040.0
2024-01-02 12:00:00+00:00,1.09692,1.09721,1.09536,1.0954,4771.0
2024-01-02 13:00:00+00:00,1.0954,1.09652,1.09492,1.09528,6187.0
2024-01-02 14:00:00+00:00,1.09528,1.09643,1.09448,1.09632,8001.0
2024-01-02 15:00:00+00:00,1.09632,1.09685,1.09412,1.09437,9201.0
2024-01-02 16:00:00+00:00,1.09437,1.09617,1.0941,1.09565,5354.0
2024-01-02 17:00:00+00:00,1.09565,1.09576,1.0946,1.09506,3908.0
2024-01-02 18:00:00+00:00,1.09506,1.0956,1.09464,1.09468,3149.0
2024-01-02 19:00:00+00:00,1.09468,1.09501,1.09429,1.09467,2303.0
2024-01-02 20:00:00+00:00,1.09467,1.09514,1.09422,1.09434,2737.0
2024-01-02 21:00:00+00:00,1.09434,1.09434,1.09383,1.09406,1285.0
2024-01-02 22:00:00+00:00,1.09406,1.09464,1.09394,1.09409,937.0
2024-01-02 23:00:00+00:00,1.09409,1.0944,1.09409,1.09416,868.0
2024-01-03 00:00:00+00:00,1.09416,1.09506,1.09413,1.09494,1297.0
2024-01-03 01:00:00+00:00,1.09494,1.0955,1.0945,1.09516,2582.0
2024-01-03 02:00:00+00:00,1.09516,1.09532,1.09487,1.09524,1583.0
2024-01-03 03:00:00+00:00,1.09524,1.09624,1.09488,1.0961,1778.0
2024-01-03 04:00:00+00:00,1.0961,1.09625,1.0959,1.09625,1284.0
2024-01-03 05:00:00+00:00,1.09625,1.09629,1.09512,1.09514,1883.0
2024-01-03 06:00:00+00:00,1.09514,1.0961,1.09512,1.09589,1732.0
2024-01-03 07:00:00+00:00,1.09589,1.09629,1.09516,1.09604,3609.0
2024-01-03 08:00:00+00:00,1.09604,1.09656,1.09502,1.09526,5869.0
2024-01-03 09:00:00+00:00,1.09526,1.09564,1.09348,1.09364,4524.0
2024-01-03 10:00:00+00:00,1.09364,1.09392,1.09263,1.0928,3816.0
2024-01-03 11:00:00+00:00,1.0928,1.09299,1.09156,1.09196,4362.0
2024-01-03 12:00:00+00:00,1.09196,1.09322,1.09146,1.09168,4223.0
2024-01-03 13:00:00+00:00,1.09168,1.09302,1.09102,1.09216,7633.0
2024-01-03 14:00:00+00:00,1.09216,1.09266,1.09098,1.09158,7863.0
2024-01-03 15:00:00+00:00,1.09158,1.09387,1.08982,1.09047,13292.0
2024-01-03 16:00:00+00:00,1.09047,1.09184,1.09029,1.09082,7301.0
2024-01-03 17:00:00+00:00,1.09082,1.09104,1.09034,1.09068,4345.0
2024-01-03 18:00:00+00:00,1.09068,1.0915,1.09029,1.09061,3801.0
